Feature,Type,Coefficient,Importance
throw,Text,0.2825250561633316,0.2825250561633316
strip,Text,-0.2823679701021209,0.2823679701021209
multi,Text,-0.28222459279527795,0.28222459279527795
unknown,Text,-0.2822140376970684,0.2822140376970684
fantasy,Text,0.2819421699801126,0.2819421699801126
transformation,Text,-0.2818671990021461,0.2818671990021461
fundraiser,Text,0.28179790112735215,0.28179790112735215
nutcracker,Text,-0.28172643955487914,0.28172643955487914
virgin,Text,-0.28171222005403423,0.28171222005403423
iconic,Text,-0.28153324516303113,0.28153324516303113
art music,Text,-0.2815215503538324,0.2815215503538324
wheelchair,Text,-0.2814775480371484,0.2814775480371484
roof,Text,0.281350572810112,0.281350572810112
talk,Text,-0.2812531027368658,0.2812531027368658
tavern,Text,0.2810720932138957,0.2810720932138957
swan,Text,0.280959464769635,0.280959464769635
spell,Text,-0.28085717306635,0.28085717306635
gopro,Text,-0.28051933120239225,0.28051933120239225
grind,Text,-0.2805117465236164,0.2805117465236164
larry,Text,-0.28007931513452383,0.28007931513452383
elizabeth,Text,0.2800325494943531,0.2800325494943531
hiking,Text,-0.27962434747713255,0.27962434747713255
first person,Text,-0.27949361671954925,0.27949361671954925
mon,Text,0.27942230929761497,0.27942230929761497
please,Text,-0.27932817513624075,0.27932817513624075
polaroid,Text,0.2791959938755162,0.2791959938755162
silver,Text,0.279120240156687,0.279120240156687
fm,Text,-0.2790176310174823,0.2790176310174823
backyard,Text,-0.27829176921390586,0.27829176921390586
mouse,Text,0.2782403201747161,0.2782403201747161
paperback,Text,-0.2781581480137326,0.2781581480137326
perfect,Text,0.27810642759713056,0.27810642759713056
volunteer,Text,-0.2775993182561599,0.2775993182561599
week,Text,-0.2774828669037761,0.2774828669037761
celebrating,Text,0.277417875949801,0.277417875949801
active,Text,0.277235603805404,0.277235603805404
twilight,Text,-0.27710268494474294,0.27710268494474294
tablet,Text,-0.27687421141704704,0.27687421141704704
currency_NZD,Category,0.27674572279809756,0.27674572279809756
country_NZ,Category,0.27674572279809756,0.27674572279809756
foodie,Text,-0.2767106440570774,0.2767106440570774
deception,Text,-0.2766158980755853,0.2766158980755853
wasteland,Text,-0.27641651130720696,0.27641651130720696
give,Text,-0.2763093186013442,0.2763093186013442
pop,Text,0.2762708323349573,0.2762708323349573
seek,Text,-0.27611920257270833,0.27611920257270833
mount,Text,-0.2760933267463837,0.2760933267463837
gun,Text,-0.27609195537177644,0.27609195537177644
transport,Text,-0.2760743094755158,0.2760743094755158
rider,Text,-0.27589521193785277,0.27589521193785277
craft,Text,-0.2758680866864931,0.2758680866864931
blue,Text,-0.2757625379492715,0.2757625379492715
connection,Text,0.2754820989317617,0.2754820989317617
easy,Text,-0.2754628021693063,0.2754628021693063
category_Civic Design,Category,0.2754614854344972,0.2754614854344972
pat,Text,0.2753943079366192,0.2753943079366192
renaissance,Text,0.2753541605614607,0.2753541605614607
patient,Text,-0.2751174626278764,0.2751174626278764
empowerment,Text,0.27509445276131267,0.27509445276131267
tower,Text,-0.27501668260432527,0.27501668260432527
page,Text,-0.27496063283448696,0.27496063283448696
gen,Text,0.27494883391027475,0.27494883391027475
trade,Text,0.2746979230343444,0.2746979230343444
flight,Text,-0.274651970734629,0.274651970734629
cart,Text,-0.2746251443280806,0.2746251443280806
kawaii,Text,0.2743134618982688,0.2743134618982688
customizable,Text,-0.27430875704267743,0.27430875704267743
awakening,Text,-0.27428023430773,0.27428023430773
videogame,Text,-0.2738863847263651,0.2738863847263651
film production,Text,-0.2738851921936027,0.2738851921936027
forest,Text,0.27371428570076684,0.27371428570076684
world tour,Text,0.27363227680697527,0.27363227680697527
continue,Text,-0.2735756591214439,0.2735756591214439
rock,Text,-0.27351712973293674,0.27351712973293674
manhattan,Text,0.27300178885001797,0.27300178885001797
complete,Text,0.27278939498007515,0.27278939498007515
trading card,Text,0.27267610023515904,0.27267610023515904
apocalypse,Text,-0.27229961972833455,0.27229961972833455
unlimited,Text,0.272211315851246,0.272211315851246
peanut,Text,-0.2720808547563117,0.2720808547563117
rug,Text,-0.27203889830516403,0.27203889830516403
drone,Text,-0.27193238135190445,0.27193238135190445
tim,Text,0.2718986434612378,0.2718986434612378
boardgame,Text,-0.2714821994387132,0.2714821994387132
doctor,Text,0.27135697063328934,0.27135697063328934
hand drawn,Text,-0.271296902270284,0.271296902270284
pizza,Text,-0.27125751549287413,0.27125751549287413
connecting,Text,0.2711880714175657,0.2711880714175657
charger,Text,0.27115228951188564,0.27115228951188564
rapid,Text,0.2711343759665919,0.2711343759665919
ranch,Text,-0.2710717884155149,0.2710717884155149
adorable,Text,0.2710330913088447,0.2710330913088447
emerging,Text,-0.27066475654117383,0.27066475654117383
jewellery,Text,-0.2705300435446587,0.2705300435446587
stupid,Text,-0.2700869881208131,0.2700869881208131
clear,Text,0.27007285342944903,0.27007285342944903
line,Text,-0.2700236542860153,0.2700236542860153
category_Restaurants,Category,-0.26978879908154874,0.26978879908154874
pair,Text,0.2697874303199873,0.2697874303199873
first album,Text,-0.26948631171506077,0.26948631171506077
hack,Text,-0.26941373072254504,0.26941373072254504
make dream,Text,0.26911508601936646,0.26911508601936646
requiem,Text,-0.26880890661338136,0.26880890661338136
flying,Text,-0.2682778257007282,0.2682778257007282
pouch,Text,0.2680663528940714,0.2680663528940714
star trek,Text,0.26805223589048316,0.26805223589048316
oregon,Text,-0.26802655629709327,0.26802655629709327
student,Text,-0.2679387191778457,0.2679387191778457
leather,Text,0.2678074936322357,0.2678074936322357
chip,Text,-0.2677465319372305,0.2677465319372305
studio project,Text,-0.26757758448007163,0.26757758448007163
fighting,Text,0.26752141382299793,0.26752141382299793
electric,Text,0.2671342746952297,0.2671342746952297
ace,Text,-0.2670101631111695,0.2670101631111695
performance,Text,0.2667342330043445,0.2667342330043445
mojo,Text,-0.266630184865216,0.266630184865216
